measure,location,sample date,value
Biochemical Oxygen,Kannika,26-Jan-98,2.133333333
Chemical Oxygen Demand (Cr),Kannika,26-Jan-98,9.733333333
Chemical Oxygen Demand (Mn),Kannika,26-Jan-98,3.766666667
AOX,Kannika,26-Jan-98,0
Atrazine,Kannika,26-Jan-98,0
Cesium,Kannika,26-Jan-98,0
Macrozoobenthos,Kannika,26-Jan-98,0
Total coliforms,Kannika,26-Jan-98,0
Fecal coliforms,Kannika,26-Jan-98,0
Water temperature,Chai,31-Jan-98,2
Dissolved oxygen,Chai,31-Jan-98,7.966666667
Ammonium,Chai,31-Jan-98,0.403333333
Nitrites,Chai,31-Jan-98,0.026666667
Nitrates,Chai,31-Jan-98,1.326666667
Orthophosphate-phosphorus,Chai,31-Jan-98,0.046666667
Total phosphorus,Chai,31-Jan-98,0.086666667
Sodium,Chai,31-Jan-98,25.76666667
Potassium,Chai,31-Jan-98,4.266666667
Calcium,Chai,31-Jan-98,53.76666667
Magnesium,Chai,31-Jan-98,14.86666667
Chlorides,Chai,31-Jan-98,37.66666667
Sulphates,Chai,31-Jan-98,58.2
Iron,Chai,31-Jan-98,0.056666667
Manganese,Chai,31-Jan-98,0
Zinc,Chai,31-Jan-98,0
Copper,Chai,31-Jan-98,0
Chromium,Chai,31-Jan-98,0
Lead,Chai,31-Jan-98,0
Cadmium,Chai,31-Jan-98,0
Mercury,Chai,31-Jan-98,0
Nickel,Chai,31-Jan-98,0
Arsenic,Chai,31-Jan-98,0
Biochemical Oxygen,Chai,31-Jan-98,3.166666667
Chemical Oxygen Demand (Cr),Chai,31-Jan-98,9.233333333
Chemical Oxygen Demand (Mn),Chai,31-Jan-98,9.333333333
AOX,Chai,31-Jan-98,0
Atrazine,Chai,31-Jan-98,0
Cesium,Chai,31-Jan-98,0
Macrozoobenthos,Chai,31-Jan-98,0
Total coliforms,Chai,31-Jan-98,0
Fecal coliforms,Chai,31-Jan-98,0
Water temperature,Boonsri,15-Feb-98,5
Dissolved oxygen,Boonsri,15-Feb-98,11.5
Ammonium,Boonsri,15-Feb-98,0.14
Nitrites,Boonsri,15-Feb-98,0.03
Nitrates,Boonsri,15-Feb-98,2.5
Orthophosphate-phosphorus,Boonsri,15-Feb-98,0.02
Total phosphorus,Boonsri,15-Feb-98,0.06
Sodium,Boonsri,15-Feb-98,13.6
Potassium,Boonsri,15-Feb-98,3.2
Calcium,Boonsri,15-Feb-98,56
Magnesium,Boonsri,15-Feb-98,24.2
Chlorides,Boonsri,15-Feb-98,24.1
Sulphates,Boonsri,15-Feb-98,49.8
Iron,Boonsri,15-Feb-98,2.84
Manganese,Boonsri,15-Feb-98,0.02
Zinc,Boonsri,15-Feb-98,15
Copper,Boonsri,15-Feb-98,5
Chromium,Boonsri,15-Feb-98,9
Lead,Boonsri,15-Feb-98,0
Cadmium,Boonsri,15-Feb-98,0
Mercury,Boonsri,15-Feb-98,0
Nickel,Boonsri,15-Feb-98,2
Arsenic,Boonsri,15-Feb-98,0
Biochemical Oxygen,Boonsri,15-Feb-98,3.8
Chemical Oxygen Demand (Cr),Boonsri,15-Feb-98,13.4
Chemical Oxygen Demand (Mn),Boonsri,15-Feb-98,4.7
AOX,Boonsri,15-Feb-98,0
Atrazine,Boonsri,15-Feb-98,0
Cesium,Boonsri,15-Feb-98,0
Macrozoobenthos,Boonsri,15-Feb-98,0
Total coliforms,Boonsri,15-Feb-98,0.84
Fecal coliforms,Boonsri,15-Feb-98,0
Water temperature,Chai,20-Feb-98,4
Dissolved oxygen,Chai,20-Feb-98,8.46
Ammonium,Chai,20-Feb-98,0.563333333
Nitrites,Chai,20-Feb-98,0.02
Nitrates,Chai,20-Feb-98,1.87
Orthophosphate-phosphorus,Chai,20-Feb-98,0.053333333
Total phosphorus,Chai,20-Feb-98,0.113333333
Sodium,Chai,20-Feb-98,22.66666667
Potassium,Chai,20-Feb-98,4.333333333
Calcium,Chai,20-Feb-98,62.58666667
Magnesium,Chai,20-Feb-98,22.95666667
Chlorides,Chai,20-Feb-98,42.61333333
Sulphates,Chai,20-Feb-98,60.94666667
Iron,Chai,20-Feb-98,0.103333333
Manganese,Chai,20-Feb-98,0
Zinc,Chai,20-Feb-98,0
Copper,Chai,20-Feb-98,0
Chromium,Chai,20-Feb-98,0
Lead,Chai,20-Feb-98,0
Cadmium,Chai,20-Feb-98,0
Mercury,Chai,20-Feb-98,0
Nickel,Chai,20-Feb-98,1.666666667
Arsenic,Chai,20-Feb-98,0
Biochemical Oxygen,Chai,20-Feb-98,2.966666667
Chemical Oxygen Demand (Cr),Chai,20-Feb-98,9.033333333
Chemical Oxygen Demand (Mn),Chai,20-Feb-98,9.846666667
AOX,Chai,20-Feb-98,0
Atrazine,Chai,20-Feb-98,0
Cesium,Chai,20-Feb-98,0
Macrozoobenthos,Chai,20-Feb-98,0
Total coliforms,Chai,20-Feb-98,0
Fecal coliforms,Chai,20-Feb-98,0
Water temperature,Kannika,24-Feb-98,5
Dissolved oxygen,Kannika,24-Feb-98,10.4
Ammonium,Kannika,24-Feb-98,0.136666667
Nitrites,Kannika,24-Feb-98,0.046666667
Nitrates,Kannika,24-Feb-98,2.176666667
Orthophosphate-phosphorus,Kannika,24-Feb-98,0.07
Total phosphorus,Kannika,24-Feb-98,0.103333333
Sodium,Kannika,24-Feb-98,20.1
Potassium,Kannika,24-Feb-98,2.8
Calcium,Kannika,24-Feb-98,52.3
Magnesium,Kannika,24-Feb-98,11.9
Chlorides,Kannika,24-Feb-98,28.2
Sulphates,Kannika,24-Feb-98,34.16666667
Iron,Kannika,24-Feb-98,0.316666667
Manganese,Kannika,24-Feb-98,0
Zinc,Kannika,24-Feb-98,0
Copper,Kannika,24-Feb-98,0
Chromium,Kannika,24-Feb-98,6
Lead,Kannika,24-Feb-98,0
Cadmium,Kannika,24-Feb-98,0
Mercury,Kannika,24-Feb-98,0
Nickel,Kannika,24-Feb-98,0
Arsenic,Kannika,24-Feb-98,0
Biochemical Oxygen,Kannika,24-Feb-98,2.7
Chemical Oxygen Demand (Cr),Kannika,24-Feb-98,11.06666667
Chemical Oxygen Demand (Mn),Kannika,24-Feb-98,3.8
AOX,Kannika,24-Feb-98,0
Atrazine,Kannika,24-Feb-98,0
Cesium,Kannika,24-Feb-98,0
Macrozoobenthos,Kannika,24-Feb-98,0
Total coliforms,Kannika,24-Feb-98,0
Fecal coliforms,Kannika,24-Feb-98,0
Water temperature,Boonsri,12-Mar-98,2
Dissolved oxygen,Boonsri,12-Mar-98,11
Ammonium,Boonsri,12-Mar-98,0.2
Nitrites,Boonsri,12-Mar-98,0.03
Nitrates,Boonsri,12-Mar-98,1.9
Orthophosphate-phosphorus,Boonsri,12-Mar-98,0.05
Total phosphorus,Boonsri,12-Mar-98,0.08
Sodium,Boonsri,12-Mar-98,13.5
Potassium,Boonsri,12-Mar-98,3.7
Calcium,Boonsri,12-Mar-98,68
Magnesium,Boonsri,12-Mar-98,21.7
Chlorides,Boonsri,12-Mar-98,27.7
Sulphates,Boonsri,12-Mar-98,46.5
Iron,Boonsri,12-Mar-98,4.57
Manganese,Boonsri,12-Mar-98,0.01
Zinc,Boonsri,12-Mar-98,15
Copper,Boonsri,12-Mar-98,9
Chromium,Boonsri,12-Mar-98,6
Lead,Boonsri,12-Mar-98,0
Cadmium,Boonsri,12-Mar-98,0
Mercury,Boonsri,12-Mar-98,0
Nickel,Boonsri,12-Mar-98,3
Arsenic,Boonsri,12-Mar-98,0
Biochemical Oxygen,Boonsri,12-Mar-98,3.3
Chemical Oxygen Demand (Cr),Boonsri,12-Mar-98,13.1
Chemical Oxygen Demand (Mn),Boonsri,12-Mar-98,4.9
AOX,Boonsri,12-Mar-98,0
Atrazine,Boonsri,12-Mar-98,0
Cesium,Boonsri,12-Mar-98,0
Macrozoobenthos,Boonsri,12-Mar-98,2.02
Total coliforms,Boonsri,12-Mar-98,1.4
Fecal coliforms,Boonsri,12-Mar-98,0
Water temperature,Chai,19-Mar-98,4
Dissolved oxygen,Chai,19-Mar-98,8.313333333
Ammonium,Chai,19-Mar-98,1.173333333
Nitrites,Chai,19-Mar-98,0.01
Nitrates,Chai,19-Mar-98,1.72
Orthophosphate-phosphorus,Chai,19-Mar-98,0.046666667
Total phosphorus,Chai,19-Mar-98,0.136666667
Sodium,Chai,19-Mar-98,24.16666667
Potassium,Chai,19-Mar-98,3.966666667
Calcium,Chai,19-Mar-98,55.09333333
Magnesium,Chai,19-Mar-98,20.28333333
Chlorides,Chai,19-Mar-98,39.80333333
Sulphates,Chai,19-Mar-98,59.36666667
Iron,Chai,19-Mar-98,0.103333333
Manganese,Chai,19-Mar-98,0
Zinc,Chai,19-Mar-98,0
Copper,Chai,19-Mar-98,0
Chromium,Chai,19-Mar-98,0
Lead,Chai,19-Mar-98,0
Cadmium,Chai,19-Mar-98,0
Mercury,Chai,19-Mar-98,0
Nickel,Chai,19-Mar-98,1.666666667
Arsenic,Chai,19-Mar-98,0
Biochemical Oxygen,Chai,19-Mar-98,2.866666667
Chemical Oxygen Demand (Cr),Chai,19-Mar-98,9.633333333
Chemical Oxygen Demand (Mn),Chai,19-Mar-98,9.396666667
AOX,Chai,19-Mar-98,0
Atrazine,Chai,19-Mar-98,0
Cesium,Chai,19-Mar-98,0
Macrozoobenthos,Chai,19-Mar-98,0.67
Total coliforms,Chai,19-Mar-98,0
Fecal coliforms,Chai,19-Mar-98,0
Water temperature,Kannika,21-Mar-98,3
Dissolved oxygen,Kannika,21-Mar-98,10.64
Ammonium,Kannika,21-Mar-98,0.236666667
Nitrites,Kannika,21-Mar-98,0.03
Nitrates,Kannika,21-Mar-98,1.696666667
Orthophosphate-phosphorus,Kannika,21-Mar-98,0.06
Total phosphorus,Kannika,21-Mar-98,0.1
Sodium,Kannika,21-Mar-98,24.42666667
Potassium,Kannika,21-Mar-98,2.833333333
Calcium,Kannika,21-Mar-98,63.34666667
Magnesium,Kannika,21-Mar-98,14.87666667
Chlorides,Kannika,21-Mar-98,34.36333333
Sulphates,Kannika,21-Mar-98,46.10333333
Iron,Kannika,21-Mar-98,0.1
Manganese,Kannika,21-Mar-98,0.06
Zinc,Kannika,21-Mar-98,0
Copper,Kannika,21-Mar-98,0
Chromium,Kannika,21-Mar-98,10
Lead,Kannika,21-Mar-98,10
Cadmium,Kannika,21-Mar-98,0
Mercury,Kannika,21-Mar-98,0
Nickel,Kannika,21-Mar-98,30
Arsenic,Kannika,21-Mar-98,0
Biochemical Oxygen,Kannika,21-Mar-98,2.633333333
Chemical Oxygen Demand (Cr),Kannika,21-Mar-98,11.23333333
Chemical Oxygen Demand (Mn),Kannika,21-Mar-98,3.7
AOX,Kannika,21-Mar-98,0
Atrazine,Kannika,21-Mar-98,0
Cesium,Kannika,21-Mar-98,0
Macrozoobenthos,Kannika,21-Mar-98,0
Total coliforms,Kannika,21-Mar-98,0
Fecal coliforms,Kannika,21-Mar-98,0
Water temperature,Boonsri,11-Apr-98,7.5
Dissolved oxygen,Boonsri,11-Apr-98,8.45
Ammonium,Boonsri,11-Apr-98,0.13
Nitrites,Boonsri,11-Apr-98,0.055
Nitrates,Boonsri,11-Apr-98,2.57
Orthophosphate-phosphorus,Boonsri,11-Apr-98,0.045
Total phosphorus,Boonsri,11-Apr-98,0.085
Sodium,Boonsri,11-Apr-98,13.75
Potassium,Boonsri,11-Apr-98,3.4
Calcium,Boonsri,11-Apr-98,50.5
Magnesium,Boonsri,11-Apr-98,13.8
Chlorides,Boonsri,11-Apr-98,21.5
Sulphates,Boonsri,11-Apr-98,47.5
Iron,Boonsri,11-Apr-98,1.045
Manganese,Boonsri,11-Apr-98,0.01
Zinc,Boonsri,11-Apr-98,21.5
Copper,Boonsri,11-Apr-98,23.5
Chromium,Boonsri,11-Apr-98,21.5
Lead,Boonsri,11-Apr-98,27.5
Cadmium,Boonsri,11-Apr-98,0.305
Mercury,Boonsri,11-Apr-98,0
Nickel,Boonsri,11-Apr-98,4.5
Arsenic,Boonsri,11-Apr-98,0
Biochemical Oxygen,Boonsri,11-Apr-98,1.75
Chemical Oxygen Demand (Cr),Boonsri,11-Apr-98,10.35
Chemical Oxygen Demand (Mn),Boonsri,11-Apr-98,3.95
AOX,Boonsri,11-Apr-98,0
Atrazine,Boonsri,11-Apr-98,0
"p,p-DDT",Boonsri,11-Apr-98,0.002
gamma-Hexachlorocyclohexane,Boonsri,11-Apr-98,0
Cesium,Boonsri,11-Apr-98,0
Macrozoobenthos,Boonsri,11-Apr-98,1.045
Total coliforms,Boonsri,11-Apr-98,0
Fecal coliforms,Boonsri,11-Apr-98,0
Water temperature,Kohsoom,16-Apr-98,21
Dissolved oxygen,Kohsoom,16-Apr-98,3.6
Ammonium,Kohsoom,16-Apr-98,14.2
Nitrites,Kohsoom,16-Apr-98,0.02
Nitrates,Kohsoom,16-Apr-98,0.93
Orthophosphate-phosphorus,Kohsoom,16-Apr-98,0.25
Total phosphorus,Kohsoom,16-Apr-98,0.48
Sodium,Kohsoom,16-Apr-98,50
Potassium,Kohsoom,16-Apr-98,5.4
Calcium,Kohsoom,16-Apr-98,62
Magnesium,Kohsoom,16-Apr-98,21
Chlorides,Kohsoom,16-Apr-98,75.1
Sulphates,Kohsoom,16-Apr-98,69
Iron,Kohsoom,16-Apr-98,0.01
Manganese,Kohsoom,16-Apr-98,0.004
Zinc,Kohsoom,16-Apr-98,44
Copper,Kohsoom,16-Apr-98,24
Chromium,Kohsoom,16-Apr-98,4
Lead,Kohsoom,16-Apr-98,90
Cadmium,Kohsoom,16-Apr-98,2.76
Mercury,Kohsoom,16-Apr-98,0
Nickel,Kohsoom,16-Apr-98,25
Arsenic,Kohsoom,16-Apr-98,0
Biochemical Oxygen,Kohsoom,16-Apr-98,32.4
Chemical Oxygen Demand (Cr),Kohsoom,16-Apr-98,0
Chemical Oxygen Demand (Mn),Kohsoom,16-Apr-98,11.2
AOX,Kohsoom,16-Apr-98,0
Atrazine,Kohsoom,16-Apr-98,0
"p,p-DDT",Kohsoom,16-Apr-98,0.006
gamma-Hexachlorocyclohexane,Kohsoom,16-Apr-98,0
Cesium,Kohsoom,16-Apr-98,0
Macrozoobenthos,Kohsoom,16-Apr-98,0
Total coliforms,Kohsoom,16-Apr-98,0
Fecal coliforms,Kohsoom,16-Apr-98,0
Water temperature,Chai,17-Apr-98,21
Dissolved oxygen,Chai,17-Apr-98,7.5
Ammonium,Chai,17-Apr-98,0.146666667
Nitrites,Chai,17-Apr-98,0.056666667
Nitrates,Chai,17-Apr-98,2.303333333
Orthophosphate-phosphorus,Chai,17-Apr-98,0.05
Total phosphorus,Chai,17-Apr-98,0.086666667
Sodium,Chai,17-Apr-98,14.96666667
Potassium,Chai,17-Apr-98,2.766666667
Calcium,Chai,17-Apr-98,54
Magnesium,Chai,17-Apr-98,12.8
Chlorides,Chai,17-Apr-98,22.23333333
Sulphates,Chai,17-Apr-98,52.73333333
Iron,Chai,17-Apr-98,0.74
Manganese,Chai,17-Apr-98,0.053333333
Zinc,Chai,17-Apr-98,38.66666667
Copper,Chai,17-Apr-98,48.33333333
Chromium,Chai,17-Apr-98,12.33333333
Lead,Chai,17-Apr-98,42
Cadmium,Chai,17-Apr-98,0.583333333
Mercury,Chai,17-Apr-98,0
Nickel,Chai,17-Apr-98,12.66666667
Arsenic,Chai,17-Apr-98,0
Biochemical Oxygen,Chai,17-Apr-98,2.2
Chemical Oxygen Demand (Cr),Chai,17-Apr-98,13.56666667
Chemical Oxygen Demand (Mn),Chai,17-Apr-98,4.1
AOX,Chai,17-Apr-98,0
Atrazine,Chai,17-Apr-98,0
"p,p-DDT",Chai,17-Apr-98,0.009333333
gamma-Hexachlorocyclohexane,Chai,17-Apr-98,0.000666667
Cesium,Chai,17-Apr-98,0
Macrozoobenthos,Chai,17-Apr-98,1.953333333
Total coliforms,Chai,17-Apr-98,0.361633333
Fecal coliforms,Chai,17-Apr-98,0.014433333
Water temperature,Somchair,17-Apr-98,20.5
Dissolved oxygen,Somchair,17-Apr-98,5.7
Ammonium,Somchair,17-Apr-98,1.52
Nitrites,Somchair,17-Apr-98,1.2
Nitrates,Somchair,17-Apr-98,3.41
Orthophosphate-phosphorus,Somchair,17-Apr-98,0.05
Total phosphorus,Somchair,17-Apr-98,0.54
Sodium,Somchair,17-Apr-98,46.6
Potassium,Somchair,17-Apr-98,5.3
Calcium,Somchair,17-Apr-98,69
Magnesium,Somchair,17-Apr-98,25.8
Chlorides,Somchair,17-Apr-98,121.9
Sulphates,Somchair,17-Apr-98,98
Iron,Somchair,17-Apr-98,9.2
Manganese,Somchair,17-Apr-98,0.79
Zinc,Somchair,17-Apr-98,104
Copper,Somchair,17-Apr-98,12
Chromium,Somchair,17-Apr-98,42
Lead,Somchair,17-Apr-98,41
Cadmium,Somchair,17-Apr-98,1.89
Mercury,Somchair,17-Apr-98,0
Nickel,Somchair,17-Apr-98,80
Arsenic,Somchair,17-Apr-98,0
Biochemical Oxygen,Somchair,17-Apr-98,4.8
Chemical Oxygen Demand (Cr),Somchair,17-Apr-98,0
Chemical Oxygen Demand (Mn),Somchair,17-Apr-98,6.9
AOX,Somchair,17-Apr-98,0
Atrazine,Somchair,17-Apr-98,0
gamma-Hexachlorocyclohexane,Somchair,17-Apr-98,0.002
Cesium,Somchair,17-Apr-98,0
Macrozoobenthos,Somchair,17-Apr-98,0
Total coliforms,Somchair,17-Apr-98,0
Fecal coliforms,Somchair,17-Apr-98,0
Water temperature,Kannika,18-Apr-98,21
Dissolved oxygen,Kannika,18-Apr-98,6.633333333
Ammonium,Kannika,18-Apr-98,0.18
Nitrites,Kannika,18-Apr-98,0.06
Nitrates,Kannika,18-Apr-98,1.44
Orthophosphate-phosphorus,Kannika,18-Apr-98,0.07
Total phosphorus,Kannika,18-Apr-98,0.1
Sodium,Kannika,18-Apr-98,18.23333333
Potassium,Kannika,18-Apr-98,3.3
Calcium,Kannika,18-Apr-98,55
Magnesium,Kannika,18-Apr-98,13
Chlorides,Kannika,18-Apr-98,31.43333333
Sulphates,Kannika,18-Apr-98,40.93333333
Iron,Kannika,18-Apr-98,1.43
Manganese,Kannika,18-Apr-98,0.043333333
Zinc,Kannika,18-Apr-98,20
Copper,Kannika,18-Apr-98,43.33333333
Chromium,Kannika,18-Apr-98,11
Lead,Kannika,18-Apr-98,16.66666667
Cadmium,Kannika,18-Apr-98,0.656666667
Mercury,Kannika,18-Apr-98,0
Nickel,Kannika,18-Apr-98,12
Arsenic,Kannika,18-Apr-98,0
Biochemical Oxygen,Kannika,18-Apr-98,2.366666667
Chemical Oxygen Demand (Cr),Kannika,18-Apr-98,12.26666667
Chemical Oxygen Demand (Mn),Kannika,18-Apr-98,4.233333333
AOX,Kannika,18-Apr-98,0
Atrazine,Kannika,18-Apr-98,0
"p,p-DDT",Kannika,18-Apr-98,0.006666667
gamma-Hexachlorocyclohexane,Kannika,18-Apr-98,0.001333333
Cesium,Kannika,18-Apr-98,0
Macrozoobenthos,Kannika,18-Apr-98,1.98
Total coliforms,Kannika,18-Apr-98,0.063333333
Fecal coliforms,Kannika,18-Apr-98,0.009
Water temperature,Sakda,18-Apr-98,21
Dissolved oxygen,Sakda,18-Apr-98,6.7
Ammonium,Sakda,18-Apr-98,0.16
Nitrites,Sakda,18-Apr-98,0.05
Nitrates,Sakda,18-Apr-98,3.59
Orthophosphate-phosphorus,Sakda,18-Apr-98,0.07
Total phosphorus,Sakda,18-Apr-98,0.19
Sodium,Sakda,18-Apr-98,18.5
Potassium,Sakda,18-Apr-98,3.2
Calcium,Sakda,18-Apr-98,54
Magnesium,Sakda,18-Apr-98,14.4
Chlorides,Sakda,18-Apr-98,33.3
Sulphates,Sakda,18-Apr-98,60.5
Iron,Sakda,18-Apr-98,1.37
Manganese,Sakda,18-Apr-98,0.11
Zinc,Sakda,18-Apr-98,24
Copper,Sakda,18-Apr-98,29
Chromium,Sakda,18-Apr-98,147
Lead,Sakda,18-Apr-98,15
Cadmium,Sakda,18-Apr-98,0.61
Mercury,Sakda,18-Apr-98,0
Nickel,Sakda,18-Apr-98,3
Arsenic,Sakda,18-Apr-98,0
Biochemical Oxygen,Sakda,18-Apr-98,2.5
Chemical Oxygen Demand (Cr),Sakda,18-Apr-98,0
Chemical Oxygen Demand (Mn),Sakda,18-Apr-98,4.3
AOX,Sakda,18-Apr-98,0
Atrazine,Sakda,18-Apr-98,0
gamma-Hexachlorocyclohexane,Sakda,18-Apr-98,0
Cesium,Sakda,18-Apr-98,0
Macrozoobenthos,Sakda,18-Apr-98,2.14
Total coliforms,Sakda,18-Apr-98,0
Fecal coliforms,Sakda,18-Apr-98,0
Water temperature,Boonsri,09-May-98,14
Dissolved oxygen,Boonsri,09-May-98,8.4
Ammonium,Boonsri,09-May-98,0.21
Nitrites,Boonsri,09-May-98,0.06
Nitrates,Boonsri,09-May-98,1.985
Orthophosphate-phosphorus,Boonsri,09-May-98,0.045
Total phosphorus,Boonsri,09-May-98,0.085
Sodium,Boonsri,09-May-98,15.2
Potassium,Boonsri,09-May-98,3.5
Calcium,Boonsri,09-May-98,48.8
Magnesium,Boonsri,09-May-98,11.2
Chlorides,Boonsri,09-May-98,20.6
Sulphates,Boonsri,09-May-98,35.55
Iron,Boonsri,09-May-98,1.925
Manganese,Boonsri,09-May-98,0.025
Zinc,Boonsri,09-May-98,18
Copper,Boonsri,09-May-98,6.5
Chromium,Boonsri,09-May-98,9.5
Lead,Boonsri,09-May-98,0
Cadmium,Boonsri,09-May-98,0
Mercury,Boonsri,09-May-98,0
Nickel,Boonsri,09-May-98,3.5
Arsenic,Boonsri,09-May-98,0
Biochemical Oxygen,Boonsri,09-May-98,2.95
Chemical Oxygen Demand (Cr),Boonsri,09-May-98,13.6
Chemical Oxygen Demand (Mn),Boonsri,09-May-98,4.65
AOX,Boonsri,09-May-98,0
Atrazine,Boonsri,09-May-98,0
Cesium,Boonsri,09-May-98,0
Macrozoobenthos,Boonsri,09-May-98,0
Total coliforms,Boonsri,09-May-98,1.75
Fecal coliforms,Boonsri,09-May-98,0
Water temperature,Chai,20-May-98,22
Dissolved oxygen,Chai,20-May-98,6.48
Ammonium,Chai,20-May-98,0.34
Nitrites,Chai,20-May-98,0.013333333
Nitrates,Chai,20-May-98,1.4
Orthophosphate-phosphorus,Chai,20-May-98,0.026666667
Total phosphorus,Chai,20-May-98,0.1
Sodium,Chai,20-May-98,25.3
Potassium,Chai,20-May-98,4.1
Calcium,Chai,20-May-98,60.30666667
Magnesium,Chai,20-May-98,21.09333333
Chlorides,Chai,20-May-98,40.93666667
Sulphates,Chai,20-May-98,70.39333333
Iron,Chai,20-May-98,0.123333333
Manganese,Chai,20-May-98,0
Zinc,Chai,20-May-98,0
Copper,Chai,20-May-98,0
Chromium,Chai,20-May-98,0
Lead,Chai,20-May-98,0
Cadmium,Chai,20-May-98,0
Mercury,Chai,20-May-98,0
Nickel,Chai,20-May-98,42
Arsenic,Chai,20-May-98,0
Biochemical Oxygen,Chai,20-May-98,3.6
Chemical Oxygen Demand (Cr),Chai,20-May-98,10
Chemical Oxygen Demand (Mn),Chai,20-May-98,2.766666667
AOX,Chai,20-May-98,0
Atrazine,Chai,20-May-98,0
"p,p-DDT",Chai,20-May-98,0
Cesium,Chai,20-May-98,0
Macrozoobenthos,Chai,20-May-98,2.07
Total coliforms,Chai,20-May-98,0
Fecal coliforms,Chai,20-May-98,0
Water temperature,Kannika,26-May-98,21
Dissolved oxygen,Kannika,26-May-98,6.073333333
Ammonium,Kannika,26-May-98,0.296666667
Nitrites,Kannika,26-May-98,0.07
Nitrates,Kannika,26-May-98,1.286666667
Orthophosphate-phosphorus,Kannika,26-May-98,0.056666667
Total phosphorus,Kannika,26-May-98,0.086666667
Sodium,Kannika,26-May-98,18.53333333
Potassium,Kannika,26-May-98,2.7
Calcium,Kannika,26-May-98,57.97
Magnesium,Kannika,26-May-98,11.85333333
Chlorides,Kannika,26-May-98,28.72
Sulphates,Kannika,26-May-98,61.52
Iron,Kannika,26-May-98,0.046666667
Manganese,Kannika,26-May-98,0.053333333
Zinc,Kannika,26-May-98,6.666666667
Copper,Kannika,26-May-98,10
Chromium,Kannika,26-May-98,20
Lead,Kannika,26-May-98,0
Cadmium,Kannika,26-May-98,0
Mercury,Kannika,26-May-98,0
Nickel,Kannika,26-May-98,42
Arsenic,Kannika,26-May-98,0
Biochemical Oxygen,Kannika,26-May-98,1.6
Chemical Oxygen Demand (Cr),Kannika,26-May-98,12.13333333
Chemical Oxygen Demand (Mn),Kannika,26-May-98,4.1
AOX,Kannika,26-May-98,0
Atrazine,Kannika,26-May-98,0
Cesium,Kannika,26-May-98,0
Macrozoobenthos,Kannika,26-May-98,0
Total coliforms,Kannika,26-May-98,0
Fecal coliforms,Kannika,26-May-98,0
Water temperature,Boonsri,06-Jun-98,24.5
Dissolved oxygen,Boonsri,06-Jun-98,7.15
Ammonium,Boonsri,06-Jun-98,0.14
Nitrites,Boonsri,06-Jun-98,0.05
Nitrates,Boonsri,06-Jun-98,1.275
Orthophosphate-phosphorus,Boonsri,06-Jun-98,0.025
Total phosphorus,Boonsri,06-Jun-98,0.07
Sodium,Boonsri,06-Jun-98,13.1
